block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
1,A_HV,theta,138,138,0,-0,Basic
1,A_HV,theta,139,139,0,-0,Basic
1,A_HV,theta,140,140,0,-0,Basic
1,A_HV,theta,141,141,0,-0,Basic
1,A_HV,theta,142,142,0,-0,Basic
1,A_HV,theta,143,143,0,-0,Basic
1,A_HV,theta,144,144,0,-0,Basic
1,A_HV,theta,145,145,0,-0,Basic
1,A_HV,theta,146,146,0,-0,Basic
1,A_HV,theta,147,147,0,-0,Basic
1,A_HV,theta,148,148,0,-0,Basic
1,A_HV,theta,149,149,0,-0,Basic
1,A_HV,theta,150,150,0,-0,Basic
1,A_HV,theta,151,151,0,-0,Basic
1,A_HV,theta,152,152,0,-0,Basic
1,A_HV,theta,153,153,0,-0,Basic
1,A_HV,theta,154,154,0,-0,Basic
1,A_HV,theta,155,155,0,-0,Basic
1,A_HV,theta,156,156,0,-0,Basic
1,A_HV,theta,157,157,0,-0,Basic
1,A_HV,theta,158,158,0,-0,Basic
1,A_HV,theta,159,159,0,-0,Basic
1,A_HV,theta,160,160,0,-0,Basic
1,A_HV,theta,161,161,0,-0,Basic
1,A_HV,theta,162,162,0,-0,Basic
1,A_HV,theta,163,163,0,-0,Basic
1,A_HV,theta,164,164,0,-0,Basic
1,A_HV,theta,165,165,0,-0,Basic
1,A_HV,theta,166,166,0,-0,Basic
1,A_HV,theta,167,167,0,-0,Basic
1,A_HV,theta,168,168,0,-0,Basic
1,A_HV,theta_zero,1,1,0,None,Fixed value
1,A_HV,theta_zero,2,2,0,None,Fixed value
1,A_HV,theta_zero,3,3,0,None,Fixed value
1,A_HV,theta_zero,4,4,0,None,Fixed value
1,A_HV,theta_zero,5,5,0,None,Fixed value
1,A_HV,theta_zero,6,6,0,None,Fixed value
1,A_HV,theta_zero,7,7,0,None,Fixed value
1,A_HV,theta_zero,8,8,0,None,Fixed value
1,A_HV,theta_zero,9,9,0,None,Fixed value
1,A_HV,theta_zero,10,10,0,None,Fixed value
1,A_HV,theta_zero,11,11,0,None,Fixed value
1,A_HV,theta_zero,12,12,0,None,Fixed value
1,A_HV,theta_zero,13,13,0,None,Fixed value
1,A_HV,theta_zero,14,14,0,None,Fixed value
1,A_HV,theta_zero,15,15,0,None,Fixed value
1,A_HV,theta_zero,16,16,0,None,Fixed value
1,A_HV,theta_zero,17,17,0,None,Fixed value
1,A_HV,theta_zero,18,18,0,None,Fixed value
1,A_HV,theta_zero,19,19,0,None,Fixed value
1,A_HV,theta_zero,20,20,0,None,Fixed value
1,A_HV,theta_zero,21,21,0,None,Fixed value
1,A_HV,theta_zero,22,22,0,None,Fixed value
1,A_HV,theta_zero,23,23,0,None,Fixed value
1,A_HV,theta_zero,24,24,0,None,Fixed value
1,A_HV,theta_zero,25,25,0,None,Fixed value
1,A_HV,theta_zero,26,26,0,None,Fixed value
1,A_HV,theta_zero,27,27,0,None,Fixed value
1,A_HV,theta_zero,28,28,0,None,Fixed value
1,A_HV,theta_zero,29,29,0,None,Fixed value
1,A_HV,theta_zero,30,30,0,None,Fixed value
1,A_HV,theta_zero,31,31,0,None,Fixed value
1,A_HV,theta_zero,32,32,0,None,Fixed value
1,A_HV,theta_zero,33,33,0,None,Fixed value
1,A_HV,theta_zero,34,34,0,None,Fixed value
1,A_HV,theta_zero,35,35,0,None,Fixed value
1,A_HV,theta_zero,36,36,0,None,Fixed value
1,A_HV,theta_zero,37,37,0,None,Fixed value
1,A_HV,theta_zero,38,38,0,None,Fixed value
1,A_HV,theta_zero,39,39,0,None,Fixed value
1,A_HV,theta_zero,40,40,0,None,Fixed value
1,A_HV,theta_zero,41,41,0,None,Fixed value
1,A_HV,theta_zero,42,42,0,None,Fixed value
1,A_HV,theta_zero,43,43,0,None,Fixed value
1,A_HV,theta_zero,44,44,0,None,Fixed value
1,A_HV,theta_zero,45,45,0,None,Fixed value
1,A_HV,theta_zero,46,46,0,None,Fixed value
1,A_HV,theta_zero,47,47,0,None,Fixed value
1,A_HV,theta_zero,48,48,0,None,Fixed value
1,A_HV,theta_zero,49,49,0,None,Fixed value
1,A_HV,theta_zero,50,50,0,None,Fixed value
1,A_HV,theta_zero,51,51,0,None,Fixed value
1,A_HV,theta_zero,52,52,0,None,Fixed value
1,A_HV,theta_zero,53,53,0,None,Fixed value
1,A_HV,theta_zero,54,54,0,None,Fixed value
1,A_HV,theta_zero,55,55,0,None,Fixed value
1,A_HV,theta_zero,56,56,0,None,Fixed value
1,A_HV,theta_zero,57,57,0,None,Fixed value
1,A_HV,theta_zero,58,58,0,None,Fixed value
1,A_HV,theta_zero,59,59,0,None,Fixed value
1,A_HV,theta_zero,60,60,0,None,Fixed value
1,A_HV,theta_zero,61,61,0,None,Fixed value
1,A_HV,theta_zero,62,62,0,None,Fixed value
1,A_HV,theta_zero,63,63,0,None,Fixed value
1,A_HV,theta_zero,64,64,0,None,Fixed value
1,A_HV,theta_zero,65,65,0,None,Fixed value
1,A_HV,theta_zero,66,66,0,None,Fixed value
1,A_HV,theta_zero,67,67,0,None,Fixed value
1,A_HV,theta_zero,68,68,0,None,Fixed value
1,A_HV,theta_zero,69,69,0,None,Fixed value
1,A_HV,theta_zero,70,70,0,None,Fixed value
1,A_HV,theta_zero,71,71,0,None,Fixed value
1,A_HV,theta_zero,72,72,0,None,Fixed value
1,A_HV,theta_zero,73,73,0,None,Fixed value
1,A_HV,theta_zero,74,74,0,None,Fixed value
1,A_HV,theta_zero,75,75,0,None,Fixed value
1,A_HV,theta_zero,76,76,0,None,Fixed value
1,A_HV,theta_zero,77,77,0,None,Fixed value
1,A_HV,theta_zero,78,78,0,None,Fixed value
1,A_HV,theta_zero,79,79,0,None,Fixed value
1,A_HV,theta_zero,80,80,0,None,Fixed value
1,A_HV,theta_zero,81,81,0,None,Fixed value
1,A_HV,theta_zero,82,82,0,None,Fixed value
1,A_HV,theta_zero,83,83,0,None,Fixed value
1,A_HV,theta_zero,84,84,0,None,Fixed value
1,A_HV,theta_zero,85,85,0,None,Fixed value
1,A_HV,theta_zero,86,86,0,None,Fixed value
1,A_HV,theta_zero,87,87,0,None,Fixed value
1,A_HV,theta_zero,88,88,0,None,Fixed value
1,A_HV,theta_zero,89,89,0,None,Fixed value
1,A_HV,theta_zero,90,90,0,None,Fixed value
1,A_HV,theta_zero,91,91,0,None,Fixed value
1,A_HV,theta_zero,92,92,0,None,Fixed value
1,A_HV,theta_zero,93,93,0,None,Fixed value
1,A_HV,theta_zero,94,94,0,None,Fixed value
1,A_HV,theta_zero,95,95,0,None,Fixed value
1,A_HV,theta_zero,96,96,0,None,Fixed value
1,A_HV,theta_zero,97,97,0,None,Fixed value
1,A_HV,theta_zero,98,98,0,None,Fixed value
1,A_HV,theta_zero,99,99,0,None,Fixed value
1,A_HV,theta_zero,100,100,0,None,Fixed value
1,A_HV,theta_zero,101,101,0,None,Fixed value
1,A_HV,theta_zero,102,102,0,None,Fixed value
1,A_HV,theta_zero,103,103,0,None,Fixed value
1,A_HV,theta_zero,104,104,0,None,Fixed value
1,A_HV,theta_zero,105,105,0,None,Fixed value
1,A_HV,theta_zero,106,106,0,None,Fixed value
1,A_HV,theta_zero,107,107,0,None,Fixed value
1,A_HV,theta_zero,108,108,0,None,Fixed value
1,A_HV,theta_zero,109,109,0,None,Fixed value
1,A_HV,theta_zero,110,110,0,None,Fixed value
1,A_HV,theta_zero,111,111,0,None,Fixed value
1,A_HV,theta_zero,112,112,0,None,Fixed value
1,A_HV,theta_zero,113,113,0,None,Fixed value
1,A_HV,theta_zero,114,114,0,None,Fixed value
1,A_HV,theta_zero,115,115,0,None,Fixed value
1,A_HV,theta_zero,116,116,0,None,Fixed value
1,A_HV,theta_zero,117,117,0,None,Fixed value
1,A_HV,theta_zero,118,118,0,None,Fixed value
1,A_HV,theta_zero,119,119,0,None,Fixed value
1,A_HV,theta_zero,120,120,0,None,Fixed value
1,A_HV,theta_zero,121,121,0,None,Fixed value
1,A_HV,theta_zero,122,122,0,None,Fixed value
1,A_HV,theta_zero,123,123,0,None,Fixed value
1,A_HV,theta_zero,124,124,0,None,Fixed value
1,A_HV,theta_zero,125,125,0,None,Fixed value
1,A_HV,theta_zero,126,126,0,None,Fixed value
1,A_HV,theta_zero,127,127,0,None,Fixed value
1,A_HV,theta_zero,128,128,0,None,Fixed value
1,A_HV,theta_zero,129,129,0,None,Fixed value
1,A_HV,theta_zero,130,130,0,None,Fixed value
1,A_HV,theta_zero,131,131,0,None,Fixed value
1,A_HV,theta_zero,132,132,0,None,Fixed value
1,A_HV,theta_zero,133,133,0,None,Fixed value
1,A_HV,theta_zero,134,134,0,None,Fixed value
1,A_HV,theta_zero,135,135,0,None,Fixed value
1,A_HV,theta_zero,136,136,0,None,Fixed value
1,A_HV,theta_zero,137,137,0,None,Fixed value
1,A_HV,theta_zero,138,138,0,None,Fixed value
1,A_HV,theta_zero,139,139,0,None,Fixed value
1,A_HV,theta_zero,140,140,0,None,Fixed value
1,A_HV,theta_zero,141,141,0,None,Fixed value
1,A_HV,theta_zero,142,142,0,None,Fixed value
1,A_HV,theta_zero,143,143,0,None,Fixed value
1,A_HV,theta_zero,144,144,0,None,Fixed value
1,A_HV,theta_zero,145,145,0,None,Fixed value
1,A_HV,theta_zero,146,146,0,None,Fixed value
1,A_HV,theta_zero,147,147,0,None,Fixed value
1,A_HV,theta_zero,148,148,0,None,Fixed value
1,A_HV,theta_zero,149,149,0,None,Fixed value
1,A_HV,theta_zero,150,150,0,None,Fixed value
1,A_HV,theta_zero,151,151,0,None,Fixed value
1,A_HV,theta_zero,152,152,0,None,Fixed value
1,A_HV,theta_zero,153,153,0,None,Fixed value
1,A_HV,theta_zero,154,154,0,None,Fixed value
1,A_HV,theta_zero,155,155,0,None,Fixed value
1,A_HV,theta_zero,156,156,0,None,Fixed value
1,A_HV,theta_zero,157,157,0,None,Fixed value
1,A_HV,theta_zero,158,158,0,None,Fixed value
