block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
1,A,p_balance,167,167,0,None,Fixed value
1,A,p_balance,168,168,0,None,Fixed value
1,A,q_balance,None,None,None,None,Basic
1,A,theta_port.theta,1,1,0,0,None
1,A,theta_port.theta,2,2,0,0,None
1,A,theta_port.theta,3,3,0,0,None
1,A,theta_port.theta,4,4,0,0,None
1,A,theta_port.theta,5,5,0,0,None
1,A,theta_port.theta,6,6,0,0,None
1,A,theta_port.theta,7,7,0,0,None
1,A,theta_port.theta,8,8,0,0,None
1,A,theta_port.theta,9,9,0,0,None
1,A,theta_port.theta,10,10,0,0,None
1,A,theta_port.theta,11,11,0,0,None
1,A,theta_port.theta,12,12,0,0,None
1,A,theta_port.theta,13,13,0,0,None
1,A,theta_port.theta,14,14,0,0,None
1,A,theta_port.theta,15,15,0,0,None
1,A,theta_port.theta,16,16,0,0,None
1,A,theta_port.theta,17,17,0,0,None
1,A,theta_port.theta,18,18,0,0,None
1,A,theta_port.theta,19,19,0,0,None
1,A,theta_port.theta,20,20,0,0,None
1,A,theta_port.theta,21,21,0,0,None
1,A,theta_port.theta,22,22,0,0,None
1,A,theta_port.theta,23,23,0,0,None
1,A,theta_port.theta,24,24,0,0,None
1,A,theta_port.theta,25,25,0,0,None
1,A,theta_port.theta,26,26,0,0,None
1,A,theta_port.theta,27,27,0,0,None
1,A,theta_port.theta,28,28,0,0,None
1,A,theta_port.theta,29,29,0,0,None
1,A,theta_port.theta,30,30,0,0,None
1,A,theta_port.theta,31,31,0,0,None
1,A,theta_port.theta,32,32,0,0,None
1,A,theta_port.theta,33,33,0,0,None
1,A,theta_port.theta,34,34,0,0,None
1,A,theta_port.theta,35,35,0,0,None
1,A,theta_port.theta,36,36,0,0,None
1,A,theta_port.theta,37,37,0,0,None
1,A,theta_port.theta,38,38,0,0,None
1,A,theta_port.theta,39,39,0,0,None
1,A,theta_port.theta,40,40,0,0,None
1,A,theta_port.theta,41,41,0,0,None
1,A,theta_port.theta,42,42,0,0,None
1,A,theta_port.theta,43,43,0,0,None
1,A,theta_port.theta,44,44,0,0,None
1,A,theta_port.theta,45,45,0,0,None
1,A,theta_port.theta,46,46,0,0,None
1,A,theta_port.theta,47,47,0,0,None
1,A,theta_port.theta,48,48,0,0,None
1,A,theta_port.theta,49,49,0,0,None
1,A,theta_port.theta,50,50,0,0,None
1,A,theta_port.theta,51,51,0,0,None
1,A,theta_port.theta,52,52,0,0,None
1,A,theta_port.theta,53,53,0,0,None
1,A,theta_port.theta,54,54,0,0,None
1,A,theta_port.theta,55,55,0,0,None
1,A,theta_port.theta,56,56,0,0,None
1,A,theta_port.theta,57,57,0,0,None
1,A,theta_port.theta,58,58,0,0,None
1,A,theta_port.theta,59,59,0,0,None
1,A,theta_port.theta,60,60,0,0,None
1,A,theta_port.theta,61,61,0,0,None
1,A,theta_port.theta,62,62,0,0,None
1,A,theta_port.theta,63,63,0,0,None
1,A,theta_port.theta,64,64,0,0,None
1,A,theta_port.theta,65,65,0,0,None
1,A,theta_port.theta,66,66,0,0,None
1,A,theta_port.theta,67,67,0,0,None
1,A,theta_port.theta,68,68,0,0,None
1,A,theta_port.theta,69,69,0,0,None
1,A,theta_port.theta,70,70,0,0,None
1,A,theta_port.theta,71,71,0,0,None
1,A,theta_port.theta,72,72,0,0,None
1,A,theta_port.theta,73,73,0,0,None
1,A,theta_port.theta,74,74,0,0,None
1,A,theta_port.theta,75,75,0,0,None
1,A,theta_port.theta,76,76,0,0,None
1,A,theta_port.theta,77,77,0,0,None
1,A,theta_port.theta,78,78,0,0,None
1,A,theta_port.theta,79,79,0,0,None
